LSE InSchedule and NSPL Activity Summary
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:37 AM
Start Month:,"February, 2018",End Month:,"February, 2018"
4000.01,4000.02,4000.03,3002.01,3002.02,4000.07
Customer ID,Customer Code,Month,InSchedule Load In Multiple Zones (Y/N),NSPL In Multiple Zones (Y/N),Version
36663,DNM1CE,"February, 2018",,N,20180201.000
36664,DNM1OE,"February, 2018",N,N,20180201.000
36665,DNM1TE,"February, 2018",,N,20180201.000
10963,DOMEDC,"February, 2018",N,,20180201.000
10964,DOMLSE,"February, 2018",N,N,20180201.000
76,DOVDE,"February, 2018",N,N,20180201.000
11718,DPLDDG,"February, 2018",N,N,20180201.000
11717,DPLDDL,"February, 2018",N,N,20180201.000
11714,DPLDEH,"February, 2018",N,N,20180201.000
29567,DPLDEN,"February, 2018",N,,20180201.000
10627,DPLMDH,"February, 2018",N,N,20180201.000
29568,DPLMDN,"February, 2018",N,,20180201.000
20894,DTEACE,"February, 2018",N,N,20180201.000
39883,DTEACP,"February, 2018",N,N,20180201.000
11222,DTEAMB,"February, 2018",N,N,20180201.000
33143,DTEAOH,"February, 2018",N,N,20180201.000
20141,DTEAPB,"February, 2018",N,N,20180201.000
10569,DTEBGS,"February, 2018",N,N,20180201.000
27016,DTEBM1,"February, 2018",N,N,20180201.000
12073,DTEBMB,"February, 2018",N,N,20180201.000
11362,DTECEP,"February, 2018",N,N,20180201.000
11709,DTEDDB,"February, 2018",N,N,20180201.000
27507,DTEDLR,"February, 2018",N,,20180201.000
12314,DTEDMB,"February, 2018",N,N,20180201.000
35226,DTEDSR,"February, 2018",N,N,20180201.000
20897,DTEFEO,"February, 2018",N,,20180201.000
21853,DTEFRA,"February, 2018",N,N,20180201.000
20063,DTEFSA,"February, 2018",N,N,20180201.000
20982,DTEICT,"February, 2018",,N,20180201.000
12315,DTEJC,"February, 2018",N,N,20180201.000
18567,DTEMEC,"February, 2018",N,N,20180201.000
20896,DTEMER,"February, 2018",N,N,20180201.000
20980,DTEOET,"February, 2018",,N,20180201.000
11710,DTEPMB,"February, 2018",N,N,20180201.000
21676,DTEPNC,"February, 2018",N,N,20180201.000
20898,DTEPNR,"February, 2018",N,N,20180201.000
24735,DTEPPR,"February, 2018",N,N,20180201.000
20981,DTETET,"February, 2018",,N,20180201.000
24147,DTTDEO,"February, 2018",N,N,20180201.000
30238,DWPEH,"February, 2018",Y,Y,20180201.000
31229,DYNES,"February, 2018",N,N,20180201.000
31838,DYNESR,"February, 2018",N,N,20180201.000
34123,DYNMPC,"February, 2018",N,N,20180201.000
34124,DYNMPS,"February, 2018",N,,20180201.000
32723,EABGE,"February, 2018",N,N,20180201.000
12088,EABMB,"February, 2018",N,N,20180201.000
41723,EADEOH,"February, 2018",N,N,20180201.000
34725,EADUKE,"February, 2018",N,N,20180201.000
31049,EADUQ,"February, 2018",N,,20180201.000
33229,EAMAOH,"February, 2018",N,,20180201.000
